Category,Tender Description,Advertised,Cancelled
"Water supply; sewerage, waste management and remediation activities","Service and maintenance of Spectro analysis ICP-OES and XRF instrument, supply servicing consumables",12/12/2023,[object Object]
Supplies: General,Supply and Delivery of Eskom approved Yard Stone including TJ Marais Testing as Per Eskom identified requirements on various Substations / Sites Across all South African Provinces on “an as where and when” required basis for a period of 3 years.,12/12/2023,[object Object]
"Other professional, scientific and technical activities",FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS DURBAN WITH AIR CONDITIONING AND REFRIGERATION SYSTEMS SERVICES FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF,12/12/2023,[object Object]
"Electricity, gas, steam and air conditioning",FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS CAPE TOWN WITH AIR CONDITIONING AND REFRIGERATION SYSTEMS SERVICES FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF,12/12/2023,[object Object]
"Electricity, gas, steam and air conditioning",FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS PORT ELIZABETH WITH AIR CONDITIONING AND REFRIGERATION SYSTEMS SERVICES FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF.,12/12/2023,[object Object]
"Electricity, gas, steam and air conditioning",FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS EAST LONDON WITH AIR CONDITIONING AND REFRIGERATION SYSTEMS SERVICES FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF,12/12/2023,[object Object]
Other service activities,MAINTENANCE SERVICES FOR AN 8-TON RAIL MOUNTED TOWER CRANE ON AN AS AND WHEN REQUIRED BASIS FOR A PERIOD OF TWENTY-FOUR (24) MONTHS AT ROSHERVILLE TOWER TESTING STATION,12/12/2023,[object Object]
Services: Building,Koeberg 400kV Feeder Bay RTV Coating for two years,12/12/2023,[object Object]
Other service activities,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH HYDRAULIC AND PNEUMATIC SYSTEMS SERVICES FOR PORT ELIZABETH FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF,12/12/2023,[object Object]
Repair and installation of machinery and equipment,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH HYDRAULIC AND PNEUMATIC SYSTEMS SERVICES FOR EAST LONDON FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF,12/12/2023,[object Object]
Repair and installation of machinery and equipment,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH HYDRAULIC AND PNEUMATIC SYSTEMS SERVICES FOR DURBAN FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF.,12/12/2023,[object Object]
Repair and installation of machinery and equipment,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH HYDRAULIC AND PNEUMATIC SYSTEMS SERVICES FOR CAPE TOWN FOR A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF,12/12/2023,[object Object]
Manufacture of coke and refined petroleum products,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH DIESEL (ADO- AUTOMOTIVE DIESEL OIL) 50PPM ON BEHALF OF THE MLRF FOR DURBAN FOR A PERIOD OF NOT EXCEEDING 26 OCTOBER 2026,12/12/2023,[object Object]
Manufacture of coke and refined petroleum products,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH DIESEL (ADO- AUTOMOTIVE DIESEL OIL) 50PPM ON BEHALF OF THE MLRF FOR RICHARDS BAY PORT FOR A PERIOD OF NOT EXCEEDING 26 OCTOBER 2026.,12/12/2023,[object Object]
Manufacture of coke and refined petroleum products,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH DIESEL (ADO- AUTOMOTIVE DIESEL OIL) 50PPM ON BEHALF OF THE MLRF FOR CAPE TOWN FOR A PERIOD OF NOT EXCEEDING 26 OCTOBER 2026.,12/12/2023,[object Object]
"Manufacture of computer, electronic and optical products",FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH DIESEL (ADO- AUTOMOTIVE DIESEL OIL) 50PPM ON BEHALF OF THE MLRF FOR PORT ELIZABETH FOR A PERIOD OF NOT EXCEEDING 26 OCTOBER 2026.,12/12/2023,[object Object]
Supplies: Clothing/Textiles/Footwear,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH FISHING AND SEAMANSHIP GEAR - ROPES TACKLE NETS FOR PORT ELIZABETH A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF.,12/12/2023,[object Object]
Other service activities,FOR THE APPOINTMENT OF A PANEL OF SERVICE PROVIDERS (SUPPLIERS) TO PROVIDE SAMSA MARITIME SPECIAL PROJECTS WITH FISHING AND SEAMANSHIP GEAR - ROPES TACKLE NETS FOR EAST LONDON A PERIOD NOT EXCEEDING 26 OCTOBER 2026 ON BEHALF OF THE MLRF.,12/12/2023,[object Object]
Legal and accounting activities,ERRATUM APPOINTMENT OF PANEL OF ATTORNEYS TO PROVIDE LEGAL SERVICES ON AN AS AND WHEN BASIS FOR THE CCMA FOR A PERIOD OF THIRTY -SIX (36) MONTHS,12/12/2023,[object Object]
Sports activities and amusement and recreation activities,Service providers are hereby requested to quote on supply and delivery of branded material for Bethsaida CLC as per the attached advert.,11/12/2023,[object Object]
Supplies: General,TENDER FOR THE PANEL OF SERVICE PROVIDER TO SUPPLY AND DELIVER MATERIAL AND EQUIPMENT FOR SMME AND TOURISM FOR THE PERIOD ENDING 30 JUNE 2026,11/12/2023,[object Object]
Services: Professional,Disaster Recovery System as a Service (DRaaS) for Limpopo Provincial Departments,11/12/2023,[object Object]
Services: Professional,"PROVISION OF BULK MEDIA BUYING, MEDIA PLANNING SERVICES AT RAND WATER COMMUNICATION & STAKEHOLDER RELATIONS DIVISION FOR A DURATION OF 5 YEARS.",11/12/2023,[object Object]
Security and investigation activities,Provision of Security Threat/Risk Assessment Services to the Independent Development Trust (IDT) for a period of three (3) months.,11/12/2023,[object Object]
Services: Professional,PROVISIONING OF EMPLOYEE WELLNESS MANAGEMENT SERVICES FOR A PERIOD OF 36 MONTHS,11/12/2023,[object Object]
Accommodation,APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISIONING OF SUITABLE LEASED OFFICE ACCOMMODATION (SPACE) TO ACCOMMODATE EMPANGENI INFRASTRUCTURE MANAGEMENT EMPANGENI HUB IN THE CENTRAL BUSINESS DISTRICT (CBD) FOR A PERIOD OF FIVE (5) YEARS,11/12/2023,[object Object]
Accommodation,LETTING OUT OF UNUTILIZED STATE-OWNED PROPERTIES,11/12/2023,[object Object]
Services: Professional,The objective of this RFP/T is to invite a suitable accredited Service Providers to assist with the implementation plan for the Skills Development element in terms of the approved Seda B-BBEE Skills Development Plan. The appointed Service Provider will work closely with the designated B-BBEE Committee Member for the duration of eighteen (18) months.,11/12/2023,[object Object]
Information and communication,"SYSTEM MAINTENANCE AND SUPPORT OF SAGE 300 PEOPLE:HR, PAYROLL AND ESS SOFTWARE",11/12/2023,[object Object]
Scientific research and development,RESEARCH TO DETERMINE OPTIMAL STAKE AND PRIZE LIMITS FOR THE LIMITED PAY-OUT MACHINE (LPM) INDUSTRY AND THE SOCIO-ECONOMIC IMPACT OF THE REVISED LIMITS,10/12/2023,[object Object]
Security and investigation activities,Security Services for a contract of One year. (Tsolo),08/12/2023,[object Object]
Construction,INVITATION FOR AN OPEN TENDER FOR THE APPOINTMENT OF A CONTRACTOR FOR THE CONSTRUCTION OF WE THE PEOPLE PARK - COMPLETION CONTRACT AT CONSTITUTION HILL,08/12/2023,[object Object]
"Insurance, reinsurance and pension funding, except compulsory social security",PROVISIONING OF ASSETS AND DIRECTORS LIABILITY INSURANCE SERVICES FOR A PERIOD OF 3 YEARS,08/12/2023,[object Object]
Sewerage,SUCTION CLEANING OF SEWER SUMPS WITH SUPER SUCKER,08/12/2023,[object Object]
Services: General,APPOINTMENT OF SERVICE PROVIDER(S) FOR RENDERING OF EVENT MANAGEMENT SERVICES FOR THE FREE STATE DEPARTMENT OF SOCIAL DEVELOPMENT IN VARIOUS TOWNS OF THE FREE STATE PROVINCE FOR A PERIOD OF THREE (3) YEARS,08/12/2023,[object Object]
Services: General,"TERM TENDER FOR ARCHIMEDES PUMPS: SUPPLY, REPAIR , SERVICE AND MAINTENANCE WITHIN THE CITY OF CAPE TOWN",08/12/2023,[object Object]
Information and communication,"SUPPLY, INSTALL AND MAINTAIN TELECOMMUNICATION GIS, NETWORK MONITORING SYSTEMS, OPERATIONAL SUPPORT AND BUSINESS SUPPORT SYSTEMS FOR THE CITY OF CAPE TOWN",08/12/2023,[object Object]
Services: General,SUPPLY AND DELIVERY OF PROTECTIVE FOOTWEAR TO THE CITY OF CAPE TOWN ON AN AD HOC BASIS,08/12/2023,[object Object]
Services: General,A PANEL OF REGISTERED PROPERTY VALUERS SERVICE PROVIDERS FOR A PERIOD OF THREE (3) YEARS,08/12/2023,[object Object]
Construction,FOR THE UPGRADING OF NATIONAL ROAD R573 SECTION 1 FROM DE WAGENDRIFT NORTH (KM 37.4) TO THE GAUTENG / MPUMALANGA BORDER (KM 48.6) (11.2 km),08/12/2023,[object Object]
Services: Electrical,"AS AND WHEN REQUIRED PROVISION OF SPECIALISED SERVICES FOR ELECTRICAL INSTALLATION TESTING, CORRECTING AND ISSUING OF CERTIFICATE OF COMPLIANCE (COC) AND LIGHTING SURVEYS FOR TRANSNET PROPERTY BUILDINGS IN THE INLAND REGION FOR A PERIOD OF 36 MONTHS (NORTHERN CAPE)",08/12/2023,[object Object]
Services: General,"Supply, Delivery, Installation and Commissioning of Entreprise RIS/PACS for the Free State Department of Health",08/12/2023,[object Object]
Services: General,"KOPANONG PRECINCT PPP PROJECT (CLUSTER 1, 2, 3 & 4) Public Private Partnership for the Refurbishment, including the Design, Construction, Operation, Maintenance and Finance of Serviced Working Environments in the Kopanong Precinct",08/12/2023,[object Object]
Supplies: General,WESTERN CAPE PROVINCE: ALL REGIONS: MODERNISATION FURNITURE: SUPPLY AND INSTALLATION: 3 YEAR FRAMEWORK AGREEMENT.,08/12/2023,[object Object]
Services: Professional,THE APPOINTMENT OF A SERVICE PROVIDER TO UNDERTAKE AN OUTCOME EVALUATION STUDY OF THE GAUTENG GROWTH AND DEVELOPMENT AGENCY PROGRAMMES,08/12/2023,[object Object]
Security and investigation activities,Security Services for a contract of One year. (Tsolo),08/12/2023,[object Object]
Construction,INVITATION FOR AN OPEN TENDER FOR THE APPOINTMENT OF A CONTRACTOR FOR THE CONSTRUCTION OF WE THE PEOPLE PARK - COMPLETION CONTRACT AT CONSTITUTION HILL,08/12/2023,[object Object]
"Insurance, reinsurance and pension funding, except compulsory social security",PROVISIONING OF ASSETS AND DIRECTORS LIABILITY INSURANCE SERVICES FOR A PERIOD OF 3 YEARS,08/12/2023,[object Object]
Information and communication,"SUPPLY, DELIVERY, INSTALLATION, CONFIGURATION, AND SUPPORT OF AN INTEGRATED VOICE OVER INTERNET PROTOCOL TELEPHONE SYSTEM FOR A PREIOD OF THREE YEARS",08/12/2023,[object Object]
Construction,"UPGRADE TO NATIONAL ROUTE N2, SECTION 24 AND SECTION 25 BETWEEN MOSS KOLNIK INTERCHANGE (KM 21) AND UMLAAS CANAL (KM 2.7)",08/12/2023,[object Object]
Manufacture of textiles,"APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVER OF RAINCOATS, RAINSUITS AND REFLECTOR JACKETS ON A ONCE OFF BASIS IN THE EASTERN CAPE REGION",08/12/2023,[object Object]
Services: Professional,Co-sourcing of Internal Audit Services to the South African Weather Service for the period 1 April 2024 to 31 March 2027,08/12/2023,[object Object]
Services: Professional,Co-sourcing of Internal Audit Services to the South African Weather Service for the period 1 April 2024 to 31 March 2027,08/12/2023,[object Object]
"Other professional, scientific and technical activities","Provision of Maintenance and Support, VMWare environment, Veeam Backup and Replication, and IBM Spectrum Protect for the South African Qualifications Authority (SAQA) as and when required based on hourly rates.",08/12/2023,[object Object]
Security and investigation activities,Security services for a period of one year.(Qumbu),08/12/2023,[object Object]
Services: Functional (Including Cleaning and Security Services),Provision of Cleaning and Hygienic Services for a period of three years,08/12/2023,[object Object]
Construction,"FOR THE UPGRADE OF NATIONAL ROUTE 3, SECTION 1 BETWEEN PARADISE VALLEY (KM 17.50) AND MARIANNHILL TOLL PLAZA (KM 26.02) RE-TENDER",08/12/2023,[object Object]
Supplies: General,REQUEST FOR PROPOSAL ON PRELIMINARY SITE SECURITY ASSESSMENT AT ALL THE PREMISES OF GARDEN ROUTE DISTRICT MUNICIPALITY,07/12/2023,[object Object]
Other service activities,PROVISION OF PUBLIC TRANSPORT SERVICE DESIGNS IN THE VARIOUS DISTRICT MUNICIPALITIES IN THE PROVINCE OF KWAZULU NATAL,07/12/2023,[object Object]
Services: General,"Provision of service to re-design and modernize the reception, cash hall area and speakers' waiting area at the municipality civic Centre",07/12/2023,[object Object]
Services: Professional,Appointment of a service provider to manage the whistle blow hotline on behalf of South African Weather Service (SAWS) for a three (3) year contract period starting from 01 April 2024 to 31 March 2027.,07/12/2023,[object Object]
"Computer programming, consultancy and related activities",THE PROVISION OF MAINTENANCE SUPPORT SERVICES FOR THE UNITS DCS SYSTEM AND COMMON PLANT AT KRIEL POWER STATION FOR 5-YEAR (60 MONTHS) AS AND WHEN REQUIRED.,07/12/2023,[object Object]
Construction,THE APPOINTMENT OF A TURNKEY CONTRACTOR FOR THE DESIGN AND CONSTRUCTION OF THE ROOIWAL WASTE-WATER TREATMENT WORKS – MECHANICAL & ELECTRICAL WORKS,06/12/2023,[object Object]
Human health activities,"Request for Quotation : DRAW, SUPPLY, AND INSTALLATION OF EVACUATION PLAN: GAUTENG NORTH REGIONAL OFFICE",06/12/2023,[object Object]
Services: Electrical,The Supply and Installation of lights and fittings at the Cape Mail Building; Compulsory Briefing/ Site Viewing 12 Dec 2023 at 11h00,06/12/2023,[object Object]
Services: General,Supply and delivery service for new fire extinguishers in Metrorail Western Cape,06/12/2023,[object Object]
Services: General,"Docex Cape Town Cleaning and Hygiene service for 24 months; Compulsory Briefing/ Site Viewing 11 Dec 2023 at 11h00 at Roggebaai Square, No. 2 Roggebaai Square 5th Floor Foreshore Cape Town",06/12/2023,[object Object]
Construction,"DESIGN, SUPPLY, INSTALL, TEST, COMMISSION AND MAINTAIN THE MICROGRID AT ESKOM BRACKENFELL COMPLEX: M & E BLOCK COMPLETE INCLUDING TRAINING OF SELECTED ESKOM OPERATORS.",06/12/2023,[object Object]
Administrative and support activities,PROVISION OF SHUTTLE SERVICES IN SABC AUCKLAND PARK ON AN AD-HOC BASIS FOR A PERIOD OF THREE YEARS,06/12/2023,[object Object]
Manufacture of textiles,REQUEST FOR QUOTATION (RFQ) FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY AND DELIVERY OF PROTECTION SERVICE RAINSUITS ON A ONCE OFF BASIS WITHIN THE EASTERN CAPE REGION,06/12/2023,[object Object]
Manufacture of textiles,REQUEST FOR QUOTATION (RFQ) FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY AND DELIVERY OF TRAIN OPERATIONS 3 IN 1 JACKETS ON A ONCE OFF BASIS WITHIN THE EASTERN CAPE REGION,06/12/2023,[object Object]
Supplies: General,WCKBG1112ABR - The Supply and Delivery of 1LMK Battery Bank,06/12/2023,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT TRAINING FOR LEARNER’S LICENSE AND DRIVING LICENCES TO YOUTH IN THE HESSEQUA AREA,06/12/2023,[object Object]
Manufacture of machinery and equipment n.e.c.,SUPPLYAND DELIVERY OF TOOLS AND EQUIPMENT FOR SOL PLAATJE MUNICIPALITY,06/12/2023,[object Object]
Construction of buildings,Building Repairs and Maintenance,05/12/2023,[object Object]
Manufacture of machinery and equipment n.e.c.,"FOR THE DETAILED DESIGN, MANUFACTURE, SUPPLY, DELIVERY, AND INSTALLATION OF TEN (10) JIB CRANES WITH CRANE RAILS AS WELL AS FINAL TESTING, COMMISSIONING AND HAND OVER TO THE EMPLOYER IN THE PORT OF DURBAN FOR A PERIOD OF TWENTY-FOUR (24) MONTHS",05/12/2023,[object Object]
Services: General,REQUEST FOR QUOTATION (RFQ) FOR THE APPOINTMENT OF A CONTRACTOR FOR REFURBISHMENT OF SMALL PLANT MACHINERY ON AN “AS AND WHEN BASIS” FOR A PERIOD OF NINE (9) MONTHS IN GAUTENG REGION.,05/12/2023,[object Object]
Supplies: General,SUPPLY AND INSTALLATION OF WALL PAPER AND WALL COVER,05/12/2023,[object Object]
Services: Functional (Including Cleaning and Security Services),APPOINTMENT OF A SERVICE PROVIDER FOR THE DEPARTMENT OF JUSTICE AND CONSTITUTIONAL DEVELOPMENT AND THE OFFICE OF THE CHIEF JUSTICE WITH COMPRHENSIVE CASH IN TRANSIT SECURITY SERVICE (ON DEMAND) FOR A PERIOD OF 36 MONTHS FROM DATE OF AWARD THEREOF.,05/12/2023,[object Object]
Manufacturing,FOR THE REPAIR AND TESTING VARIOUS TPT HAULER ENGINES COMPONENTS,05/12/2023,[object Object]
Manufacture of electrical equipment,National Automation Spares - Belting/BM,05/12/2023,[object Object]
Manufacture of electrical equipment,RFQ 23/24/60/National Automation Printers – Repairs/BM,05/12/2023,[object Object]
Manufacture of machinery and equipment n.e.c.,RFQ 23/24/ 59/ National Automation Printers – Consumables and Servicing/BM,05/12/2023,[object Object]
Services: General,Provision of above ground diesel tank and the fuel bowser at King Phalo Airport,04/12/2023,[object Object]
Services: Functional (Including Cleaning and Security Services),Provision of Security Services for Drakenstein Municipality from 01 July 2024 until 30 June 2027,04/12/2023,[object Object]
Construction,"RFQ FOR THE OVERHAULING MAINTENANCE REFURBISHMENT OF PORTABLE FIREFIGHTING EQUIPMENT OF VARIOUS TYPES AND SIZES, AND THE SUPPLY OF MISCELLANEOUS GOODS FOR A PERIOD OF 4 MONTHS AT SENTRARAND.",04/12/2023,[object Object]
Programming and broadcasting activities,"SUPPLY, DELIVERY AND PROGRAMMING OF DIGITAL RADIOS",04/12/2023,[object Object]
Services: Professional,TERMS OF REFERENCE FOR THE SUPPLY OF A WEB-BASED LIBRARY MANAGEMENT SYSTEM TO THE DEPARTMENT OF HIGHER EDUCATION AND TRAINING LIBRARY,04/12/2023,[object Object]
Repair and installation of machinery and equipment,"Supply, delivery and installation of the Liquid Chromatograph with Tandem Quadrupole Mass Spectrometer (HPLC-QqQ-MS/MS) at Arc-Onderstepoort Campus",04/12/2023,01/01/1
Programming and broadcasting activities,SUPPLYAND DELIVERY OF VOICE RECORDER,04/12/2023,[object Object]
Repair and installation of machinery and equipment,"SUPPLY, DELIVERY AND INSTALLATION OF GAS CHROMATOGRAPH WITH TANDEM QUADRUPOLE MASS SPECTROMETER (GC-Qqq-MS/MS) AT ARC-ONDERSTEPOORT CAMPUS",04/12/2023,[object Object]
Food and beverage service activities,• Prospective service providers are hereby requested to quote on supply and delivery of Decor Services for Watville as per the attached advert.,04/12/2023,[object Object]
Printing and reproduction of recorded media,APPOINTMENT OF A SERVICE PROVIDER TO DEVELOP AND SUPPLY DGR TRAINING INFORMATION MANUALS AND BOOKLETS FOR STAKEHOLDERS AND SCHEMES.,04/12/2023,[object Object]
Scientific research and development,"APPOINTMENT OF SERVICE PROVIDER FOR ANALYSIS OF PHYSICAL, CHEMICAL AND BIOLOGICAL PROPERTIES OF SOILS FROM EFTEON LANDSCAPES ACROSS SOUTH",04/12/2023,[object Object]
Services: Professional,Review and update of the Gauteng Provincial Disaster Management Plan in support of the Development of a Level three (3) Disaster Management Plan,01/12/2023,[object Object]
Services: Professional,"Design, Development and Implementation of an Automated Spatial Transformation Appraisal Mechanism/ System to support the Provincial Capital Budget process",01/12/2023,[object Object]
