category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
Services: Functional (Including Cleaning and Security Services),777/08/25,SERVICE PROVIDERS FOR ARMED VIP GUARDS AND VEHICLE HIRE FOR A PERIOD OF 36 MONTHS,02/09/2025,02/10/2025,,,
Services: General,ERI/2025/TSS/07,Supply and delivery of Fasteners,02/09/2025,25/09/2025,,,
Supplies: General,LED-MPL-2025/26MHLM,Supply and Delivery of Agricultural Inputs for 130 Hectors,02/09/2025,26/09/2025,,,
Information and communication,ADM/2025/006,REQUEST FOR QUOTATION FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR THE IMPLEMENTATION AND MAINTANANCE OF A MONITORING TOOL FOR THE PRIVATE SECURITY INDUSTRY REGULATORY AUTHORITY,02/09/2025,19/09/2025,,,
Services: Professional,RFP 03-2025 Advert,APPOINTMENT OF SERVICE PROVIDER TO UNDERTAKE INTERNAL AUDIT FOR A PERIOD OF 36 MONTHS.,02/09/2025,30/09/2025,,,
Services: General,RFQ10360,REQUEST FOR QUOTATION FOR THE PROVISSION OF MAINTENANCE OF FIRE SYSTEMS FOR A PERIOD OF 5 YEARS FOR AIPORTS COMPANY SOUTH AFRICA FOR GEORGE AIRPORTS.,02/09/2025,29/09/2025,,,
Construction,T06.25.26,CONSTRUCTION OF A NEW 132KV ESKOM OVERHEAD LINE AND SWITCHING STATION TO SUPPLY THE DE HOOP MUNICIPAL SUBSTATION IN MALMESBURY,02/09/2025,17/10/2025,,,
Supplies: General,T20.25.26,SUPPLY DELIVER AND ERECTING OF HIGH SECURITY BOUNDARY FENCING AT VARIOUS RESERVOIR SITES IN THE SWARTLAND MUNICIPAL AREA,02/09/2025,26/09/2025,,,
Other service activities,E1753GXMPVOU,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPORT ESKOM’S JET OFFICE IN STAKEHOLDER IDENTIFICATION, ENGAGEMENT, COMMUNICATIONS, AND CAPACITY BUILDING AROUND ARNOT, CAMDEN, HENDRINA, AND KRIEL POWER STATIONS IN MPUMALANGA PROVINCE FOR AN ESTIMATED PERIOD OF TWENTY (20) MONTHS.",02/09/2025,01/10/2025,,,
Supplies: General,CS-PB-KMHLM-2024-25,Supply and delivery of Refuse Bags for a period of one year.,02/09/2025,16/10/2025,,,
Telecommunications,TNPA/2025/08/0003/104444/RFQ,"SUPPLY, INSTALLATION, REPAIR AND MAINTENANCE OF CCTV SECURITY SYSTEMS RELATED HARDWARE (INCLUDING INFRASTRUCTURE) AND SOFTWARE (INCLUDING CONFIGURATION) IN THE PORT OF SALDANHA FOR A PERIOD OF SIX (06) MONTHS.",02/09/2025,19/09/2025,,,
Supplies: General,ULM/CS/08/2025,APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF SECURITY SERVICES FOR A PERIOD OF 36 MONTHS,02/09/2025,30/09/2025,,,
Security and investigation activities,8/2/1/326,PROVISION OF SECURITY ALARM SYSTEM FOR A PERIOD OF 36 MONTHS.,02/09/2025,03/10/2025,,,
"Computer programming, consultancy and related activities",8/2/1/377,PROVISION OF STS COMPLAINT PREPAYMENT OF ELECTRICITY VENDING SYSTEM FOR A PERIOD OF 36 MONTHS,02/09/2025,03/10/2025,,,
Human health activities,8/2/1/562,LAND SALES WITHIN ABAQULUSI LOCAL MUNICIPALITY,02/09/2025,23/09/2025,,,
Human health activities,8/2/1/563,Leasing of Municipal Plots for Agricultural Purposes,02/09/2025,23/09/2025,,,
"Water supply; sewerage, waste management and remediation activities",RFQ No 10414409,WATER EFFICIENCY DISPLAY STAND,02/09/2025,19/09/2025,,,
Services: Professional,NLM-QUO-25/133,Request for Quotation for providing electromagnetic location survey services for detecting unknown objects in the ground,01/09/2025,19/09/2025,,,
Supplies: Medical,SCMU3-25/26-0131-HO,Request for supply and delivery of Oxygen Concentrators in ECDoH Facilities for a period of 36 months,01/09/2025,30/09/2025,,,
Construction,KSIA7932/2025/RFQ,THE DESIGN AND BUILD FOR CHARLIE APRON EXPANSION AT KING SHAKA INTERNATIONAL AIRPORT FOR A PERIOD OF 26 MONTHS,01/09/2025,01/10/2025,,,
Architectural and engineering activities; technical testing and analysis,KSIA7932/2025/RFQ1,"REQUEST FOR BIDS FOR THE PROVISION OF JOINT MONITORING TEAM (JMT) OF MULTI-DISCIPLINE ¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬¬PROFESSIONAL SERVICES CONSORTIUM COMPRISING OF CONSTRUCTION PROJECT MANAGER, ENGINEERING (CIVIL AND ELECTRICAL) CONSULTANTS, QUANTITY SURVEYORS AND CONSTRUCTION HEALTH AND SAFETY AGENT SERVICES FOR CHARLIE APRON EXPANSION AT KING SHAKA INTERNATIONAL AIRPORT FOR A PERIOD OF 26 MONTHS.",01/09/2025,01/10/2025,,,
Manufacture of chemicals and chemical products,E1586GXMPHEN-Bidder's Names,Publication of Names of Bidders advertised Competitive Bids - Supply and Delivery of Sodium Chlorine,01/09/2025,30/09/2025,,,
Food and beverage service activities,TASEZ/rfp010/2025,Appointment of a panel of service providers for the provision of professional catering services on a need basis for a period of thirty-six (36) months.,01/09/2025,22/09/2025,,,
Services: Professional,ZNT 07 EDTEA 25-26,APPOINTMENT OF A SERVICE PROVIDER TO REVIEW THE PROVINCIAL SPATIAL ECONOMIC DEVELOPMENT STRATEGY ( PSEDS) FOR A PERIOD OF EIGHT (8) MONTHS.,01/09/2025,30/09/2025,,,
Services: General,MPKUS11442GXRegret,In-situ Machining & Restilliting of valves and any plant components as and when required during Outages for the period if 5 years. REGRET LETTER,01/09/2025,22/11/2025,,,
Services: General,SASSA:03-25-GA-FS,The South African Social Security Agency hereby invites proposals from potential service providers for the expression of interest for the appointment of health professionals to perform disability assessment for SASSA Free State Region for a period of thirty-six (36) months,01/09/2025,01/10/2025,,,
Legal and accounting activities,TRP 01/09/25,THE APPOINTMENT OF A PANEL OF LEGAL PRACTITIONERS FOR THE PROVISION OF LEGAL SERVICES TO THE TAKEOVER REGULATION PANEL (the Panel) FOR A PERIOD OF THREE (3) YEARS,01/09/2025,30/09/2025,,,
Services: General,MPKUS11465GXREGRET,Provision of Lubrication and Purification service on as an When required basis at Kusile Power Station for a period of 5 years. REGRET LETTER,01/09/2025,29/11/2025,,,
Services: General,SASSA:02-25-GA- FS,The South African Social Security Agency hereby invites proposals for the accreditation of potential service provider/s for the supply and delivery of school uniform for Free State Region over a period of thirty-six (36) months.,01/09/2025,01/10/2025,,,
Construction,RFT78/06/2024/25 (Re-Advert),Upgrading of Rooiwal Cemetery Ring Road and Stormwater,01/09/2025,29/09/2025,,,
Construction,RFT79/06/2024/25 (Re-Advert),Upgrading of Internal Roads and Stormwater in Mothotlung Ext. 2 to Thari (Ward 21),01/09/2025,29/09/2025,,,
Construction,RFT80/06/2024/25 (Re-Advert),Upgrading of Internal Roads and Stormwater of Letlhabile Block B Extension 2(Ward11),01/09/2025,29/09/2025,,,
Construction,RFT81/06/2024/25 (Re-Advert),PLEASE TAKE NOTE OF THE ATTACHED ERRATUM RELATING TO THE COMPULSORY BRIEFING Construction of Maboloka Sports Facility Phase 2,01/09/2025,29/09/2025,,,
Construction,RFT82/06/2024/25 (Re-Advert),PLEASE TAKE NOTE OF THE ATTACHED ERRATUM RELATING TO THE COMPULSORY BRIEFING Construction and Installation of Madibeng High Mast lighting in all Wards Phase,01/09/2025,29/09/2025,,,
Construction,RFT68/09/2024/25 (Re- Advert),Establishment of Panel of Contractors for implementation of Roads and Storm Water Projects for a period of three(3) years,01/09/2025,07/10/2025,,,
Construction,RFT85/09/2025/26,Appointment of a panel of three (3) Service Providers to supply Split Type Smart Prepaid Electrical Meters for a period of thirty-six (36) months.,01/09/2025,01/10/2025,,,
Services: General,MPTUT10410GXR1Cancel,Maintenance of Ash Conveyor Plant for a period of 5 years at Tutuka Power Station,01/09/2025,30/09/2025,,,
Services: Civil,MPTUT10789GXR1Regret,Dredging of the Dams at Tutuka Power Station for a period of 5 years.,01/09/2025,30/09/2025,,,
Other service activities,RFQ10416289,REPAIR AND TESTING OF RAILS IN THE SEDIMENTATION TANK – SYSTEM N – Rand Water Zuikerbosch,01/09/2025,26/09/2025,,,
Supplies: General,ARMD/2025/10,The procurement of SYNCROLIFT hoist wire ropes for Armscor Dockyard,01/09/2025,02/10/2025,,,
Repair and installation of machinery and equipment,201762,"LOAD TESTING, SERVICE AND REPAIRS TO ALL CRANES AND LIFTING EQUIPMENT AT SABS GROENKLOOF, SECUNDA AND NETFA SITES.",01/09/2025,19/09/2025,,,
Wholesale and retail trade and repair of motor vehicles and motorcycles,ZNB02641/00000/00/HOD/GEN/25/T,"PROVISION FOR FLEET INSPECTION, MAINTENANCE AND REPAIR FOR (3) THREE YEARS",01/09/2025,06/10/2025,,,
Construction of buildings,SBM 59/24/25,APPOINTMENT OF A SERVICE PROVIDER FOR SPECIFIED HUMAN SETTLEMENT PROJECTS IN THE MUNICIPAL AREA,01/09/2025,03/10/2025,,,
Information and communication,NDA03/CS02/25,"APPOINTMENT OF A SERVICE PROVIDER FOR MAINTENANCE, SUPPORT, AND SYSTEMS INTEGRATION OPTIMIZATION OF MICROSOFT DYNAMICS 365 BUSINESS CENTRAL SOFTWARE-AS-A-SERVICE (SAAS) ENVIRONMENT FOR A PERIOD OF 36-MONTHS",01/09/2025,23/09/2025,,,
"Travel agency, tour operator, reservation service and related activities",ITAC 02-2025/2026,Request for Proposal for Travel Management Services for the period of 36 months,01/09/2025,26/09/2025,,,
Supplies: Medical,RFB039/25/26,"PLACEMENT OF A FULLY AUTOMATED FLOW CYTOMETER ANALYSER FOR TAD, NELSON MANDELA ACADEMIC LABORATORY AND PORT ELIZABETH INCLUDING QUALITY CONTROL, CONSUMABLES, SERVICE AND MAINTENANCE FOR A PERIOD OF FIVE (5) YEARS.",01/09/2025,26/09/2025,,,
Construction,ZNB02772/00000/00/POR/INF/25/T,"BETTERMENT OF GRAVEL STEEP SECTION ON DISTRICT ROAD D923 TO CONCRETE PAVEMENT (300M), FROM KM 08.32 TO KM 08.62 IN THE UMZUMBE LOCAL MUNICIPALITY, DURBAN REGION. - GRADE 4CE OR HIGHER",01/09/2025,07/10/2025,,,
Other service activities,Necsa -RFQ -0003,Request for quotation for the Implementation of Lean Manufacturing/Kaizen process for optimisation of manufacturing operations at Advanced Manufacturing,01/09/2025,22/09/2025,,,
Construction,ZNB02483/00000/00/POR/INF/24/T,"BETTERMENT AND REGRAVELLING ON PROVINCIAL ROAD P739, AT (KM 4.000 TO KM 6.000) IN UMDONI LOCAL MUNICIPALITY WITHIN THE DURBAN REGION FOR GRADE 3CE OR HIGHER - GRADE 3CE OR HIGHER",01/09/2025,09/10/2025,,,
Administrative and support activities,NOTICE TO CANCEL TO RE-ADVERTISE RFQ 01/08/2025,NOTICE TO ALL BIDDERS. THE FOLLOWING FORMAL QUOTATION HAS BEEN CANCELLED AND WILL BE RE-ADVERTISED IN DUE COURSE FORMAL QUOTATION RFQ 01/08/2025: ADVERTISED RFQ 01/08/2025: APPOINTMENT OF SERVICE PROVIDER TO CONDUCT THE SELECTION PROCESS FOR THE FILLING OF THE VACANT POSITION FOR DIRECTOR CORPORATE SERVICES (ONCE OFF),01/09/2025,30/09/2025,,,
Supplies: General,CANCELE1150NTCSAMP,CANCELLATION LETTER- E1150NTCSAMP,01/09/2025,22/09/2025,,,
Security and investigation activities,MISA/SS/002/2025/26,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE SECURITY SERVICES FOR THE MUNICIPAL INFRASTRUCTURE SUPPORT AGENT FOR A PERIOD OF THIRTY (36) MONTHS,01/09/2025,26/09/2025,,,
Advertising and market research,MO 03/2025,MO 03/2025: APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE MEDIA ADVERTISING SERVICES FOR A PERIOD OF ONE YEAR,01/09/2025,30/09/2025,,,
Supplies: General,CANCELE1148NTCSAMP,CANCELLATION LETTER E1148NTCSAMP,01/09/2025,22/09/2025,,,
Supplies: General,CANCELE1149NTCSAMP,CANCELLATION LETTER E1149NTCSAMP,01/09/2025,22/09/2025,,,
Services: Professional,RFX 60000002990,Appointment of service provider for Structural Consulting Engineering Services for the Johannesburg T97 First Floor RC Slab Investigation.,01/09/2025,25/09/2025,,,
Services: Professional,AHT25649,"REPLACEMENT OF PERIMETER FENCE AT PetroSA HEAD OFFICE IN PAROW, CAPE TOWN",01/09/2025,23/09/2025,,,
"Computer programming, consultancy and related activities",E1566 GCD MWP,Cyber Forensic lab capability for advance digital forensics analytics in support of crime investigations for a period of five (5) years.,01/09/2025,07/10/2025,,,
Services: Electrical,PT25-004,36 MONTH TERM CONTRACT: REPAIRS AND MAINTENANCE OF THE HIGH TENSION OR HIGH VOLTAGE INSTALLATIONS AND INFRASTRUCTURE ON STATE OWNED BUILDINGS FOR DEPARTMENT OF PUBLIC WORKS AND INFRASTRUCTURE PRETORIA REGION AREA 1,01/09/2025,22/09/2025,,,
Services: Electrical,PT25-005,36 MONTH TERM CONTRACT: REPAIRS AND MAINTENANCE OF THE HIGH TENSION OR HIGH VOLTAGE INSTALLATIONS AND INFRASTRUCTURE ON STATE OWNED BUILDINGS FOR DEPARTMENT OF PUBLIC WORKS AND INFRASTRUCTURE PRETORIA REGION AREA 2,01/09/2025,22/09/2025,,,
"Other professional, scientific and technical activities",SENT-022-2025-26,"Appointment of additional suppliers for a Panel of Suppliers to source / Manufacture, supply, and deliver digital Set-Top Boxes (STBs) and integrated Digital Television sets with related accessories for Digital Terrestrial Television (DTT) and Direct to Home (DTH) non-subsidised market as and when required within a period of 12 months.",01/09/2025,23/09/2025,,,
Services: Professional,EDET/QUOTE G303/2025,"APPOINTMENT OF ACCREDITED SERVICE PROVIDER TO RENDER AUCTIONEERING SERVICES FOR THE LIMPOPO ECONOMIC DEVELOPMENT ,ENVIRONMENT AND TOURISM",01/09/2025,19/09/2025,,,
"Computer programming, consultancy and related activities",EDET/QUOTE 0026/2025R,APPOINTMENT OF ACCREDITED TRAINING SERVICE PROVIDER TO PROVIDE TRAINING ON ACCESS CONTROL AND PHYSICAL SECURITY MANAGEMENT COURSE FOR 02 OFFICIALS,01/09/2025,19/09/2025,,,
Services: General,Rec 73367,SUPPLY & INSTALL AHU UNIT -BIDVEST DOMESTIC LOUNGE,01/09/2025,30/09/2025,,,
Mining support service activities,MHSC009/2025/26,APPOINTMENT OF A SERVICE PROVIDER TO UNDERTAKE RESEARCH PROJECT COE 230702 “DEVELOPMENT OF AN ILLUMINATION GUIDELINE FOR THE SOUTH AFRICAN MINING INDUSTRY.”,01/09/2025,22/09/2025,,,
Mining support service activities,MHSC008/2025/26,"APPOINTMENT OF A SERVICE PROVIDER TO UNDERTAKE RESEARCH PROJECT COE 220802 “A COMPREHENSIVE GUIDENCE DOCUMENT FOR IDENTIFYING, MONITORING AND MANAGING BIOLOGICAL HAZARDS IN THE SOUTH AFRICAN MINING INDUSTRY (SAMI).”",01/09/2025,22/09/2025,,,
Services: Building,ORTIA79752025RFP,Request for Proposal for the Acquisition of a Lounge Operator for a period of five (5) years at O R Tambo International Airport for a commercial lounge and a smoking lounge,01/09/2025,28/11/2025,,,
Services: Professional,E1749GXNOUR,"Tender Re-Issue of Perform an ASME Section XI and OM Code update, in preparation for the 5th Inservice Inspection Interval at Koeberg Nuclear Power Station",01/09/2025,26/09/2025,,,
Other service activities,DSAC05/25-26,"RE-ADVERTISEMENT APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE A TWENTY-FOUR HOUR SECURITY SERVICE TO THE DEPARTMENT OF SPORT, ARTS AND CULTURE (DSAC) FOR A PERIOD OF THIRTY-SIX (36) MONTHS",29/08/2025,30/09/2025,,,
Supplies: Medical,WCGHCC0003/2025,"SUPPLY AND DELIVERY OF CASTING & SPLINTING CONSUMABLES TO ALL HOSPITALS/INSTITUTIONS UNDER THE CONTROL OF THE DEPARTMENT OF HEALTH AND WELLNESS, FOR A THREE-YEAR PERIOD.",29/08/2025,26/09/2025,,,
Services: Building,ARC/20/08/2025,Request for proposals to assist the ARC with the provision of building/infrastructure and related works repairs and maintenance for a period of five years on an ad hoc basis .,29/08/2025,29/09/2025,,,
Repair and installation of machinery and equipment,ARC/19/08/2025,Request for proposals to assist the ARC with the provision of tractor and related equipment/accessories repairs and maintenance for a period of five years on an ad hoc basis.,29/08/2025,29/09/2025,,,
Services: Electrical,ARC/21/08/2025,Request for proposals to assist the ARC with the provision of Electrical and related works repairs and maintenance for a period of five years on an ad hoc basis .,29/08/2025,29/09/2025,,,
Other service activities,TDR54/2025/2026,"ALIENATION (SELLING) OF ERF 4561, SITUATED AT HAVENGA STREET, SONSKYN VALLEY, HARTENBOS",29/08/2025,03/10/2025,,,
Services: General,SCM/2026/04/ENG,GRAVEL ROAD MAINTENANCE IN BITOU AREA FOR PERIOD ENDING JUNE 2028,29/08/2025,03/10/2025,,,
Construction,TASEZ/RFP002/2025,The Construction of the External Electrical Bulk Infrastructure for the TASEZ Phase 2 Programme,29/08/2025,26/09/2025,,,
"Electricity, gas, steam and air conditioning",ARC/22/08/2025,"Request for proposals to assist ARC with the provision of heating, ventilation and air conditioning (HVAC), related equipment and systems repairs and maintenance for a period of five years on an ad hoc basis.",29/08/2025,29/09/2025,,,
Construction,38Q/2025/26,"MINOR REPAIR WORK TO THE LOWER CHURCH STREET BRIDGE, WOODSTOCK",29/08/2025,01/10/2025,,,
Services: General,SCM/2026/06/ENG,MAINTENANCE OF ROADS AND STORMWATER IN BITPU AREAS FOR THE PERIOD ENDING 30 JUNE 2028,29/08/2025,03/10/2025,,,
Services: General,SCM/2026/07/ENG,UPGRADING OF HIGH AND SEWELL STREET,29/08/2025,03/10/2025,,,
Services: Professional,GT/GDeG/031/2025,"APPOINTMENT OF SERVICE PROVIDER FOR THE DESIGN, DEVELOPMENT, AND IMPLEMENTATION OF AN AUTOMATED SPATIAL TRANSFORMATION APPRAISAL MECHANISM/SYSTEM TO SUPPORT THE PROVINCIAL CAPITAL BUDGET PROCESS FOR 3 YEARS (36 MONTHS)",29/08/2025,19/09/2025,,,
Other service activities,ERI2025TGS21,Supply of Containers and Ablution Facilities – Eskom Rotek Industries at various sites.,29/08/2025,30/09/2025,,,
"Travel agency, tour operator, reservation service and related activities",DEDaT 0004/2025,"THE APPOINTMENT OF TRAVEL MANAGEMENT COMPANY(IES) – TMC(s), TO RENDER TRAVEL, ACCOMMODATION, CONFERENCE, VENUE AND CAR HIRE MANAGEMENT SERVICES AND RELATED SERVICES FOR 36 MONTHS.",29/08/2025,19/09/2025,,,
Services: Professional,PLK25/06,"Lebowakgomo SAPS: Repairs and Maintenance of Electrical, Civil, Mechanical and Structural elements of the building. (Civil Engineering Services)",29/08/2025,23/09/2025,,,
Civil engineering,JHB 25/03,"ADDENDUM : Maintenance, repairs and levelling of tarred roads, potholes, gravel roads, repairs and cleaning of exposed open concrete and brick storm water channels within the Johannesburg Regional Office jurisdiction for a period of 24 months. CIDB grading required is 5CE or higher",29/08/2025,25/09/2025,,,
Administrative and support activities,9/3/1/416,"SUPPLY, INSTALLATION AND SUPPORT OF MULTI-FUNCTIONAL PRINTERS AND PHOTOCOPIERS FOR A PERIOD OF THIRTY-SIX (36) MONTHS",29/08/2025,03/10/2025,,,
Administrative and support activities,9/3/1/417,SUPPLY AND DELIVERY OF LAPTOPS AND DESKTOPS,29/08/2025,19/09/2025,,,
"Other professional, scientific and technical activities",TASEZ/RFP016/2024/,Appointment of Three experienced service providers to execute a three-year maintenance services plan and repairs on call-out basis and on a rotational basis for the Access control system,29/08/2025,19/09/2025,,,
Services: Professional,GT/GIFA/043/2025,TERMS OF REFERENCE FOR THE PRE-QUALIFICATION OF A PANEL OF TRANSACTION ADVISORY SERVICE PROVIDERS TO THE GAUTENG INFRASTRUCTURE FINANCING AGENCY FOR A PERIOD OF 36 MONTHS,29/08/2025,26/09/2025,,,
Administrative and support activities,9/3/1/418,PANEL OF THREE (3) SERVICE PROVIDERS FOR SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENTS (PPE) AS AND WHEN REQUIRED FOR A PERIOD OF THIRTY-SIX(36) MONTHS,29/08/2025,10/10/2025,,,
Administrative and support activities,9/3/1/419,SUPPLY AND INSTALLATION OF AUDIO AND VIDEO CONFERENCING SYSTEM,29/08/2025,26/09/2025,,,
"Manufacture of motor vehicles, trailers and semi-trailers",19/1/9/1/17TA (25),(RFI): REQUEST FOR INFORMATION: PORTABLE AND MOBILE BACK SCATTER CARGO AND VEHICLE SCREENING SYSTEMS: FOR THE SAPS: DETERMINING OF POSSIBLE LOCAL MANUFACTURERS / SUPPLIERS,29/08/2025,30/09/2025,,,
Services: Electrical,E1765GXMPMAJ,Electrical energised fence maintenance and repairs,29/08/2025,30/09/2025,,,
Accommodation,LS03/2025,KIMBERLEY SAPS (CRIME INTELLIGENCE). Acquisition of alternative office accommodation of 1 073m² and 41 parking bays for a period of 5 years.,29/08/2025,19/09/2025,,,
"Professional, scientific and technical activities",CGS-2025-10F,Appointment of a service provider for the provision of enterprise architecture assessment and submission of the recommendation plan for the Council for Geoscience for a period of six (6) months.,29/08/2025,26/09/2025,,,
Accommodation,LS04/2025,UPINGTON SAPS. Acquisition of alternative office accommodation of 832.00m² and 14 parking bays for a period of 3 years.,29/08/2025,19/09/2025,,,
