Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Civil engineering,KMLM2026-002B,"EXPRESSION OF INTEREST: PROVISION OF THE PROFESSIONAL ENGINEERING SERVICES FOR PLANNING, DESIGN, DOCUMENTATION AND MONITORING OF DITSHUKUTSWANE COMMUNITY HALL. MIG/NW/3213/CF/25/26",28/01/2026,27/02/2026,Kagisano-Molopo Local Municiality,Request for Bid(Limited-Tender,North West,"New Municipal building,Tlakgameng Road, Next to Ganyesa Clinic, Ganyesa, 8613",N/A,Mr. K.W Motshwane,pmukmlm@gmail.com,053-998-4455,053-998-3711,No,No,,,No,No,,
Civil engineering,KMLM2026-005,"EXPRESSION OF INTEREST: PROVISION OF THE PROFESSIONAL ENGINEERING SERVICES FOR PLANNING, DESIGN, DOCUMENTATION AND MONITORING OF GANYESA BRIDGE",28/01/2026,27/02/2026,Kagisano-Molopo Local Municiality,Request for Bid(Open-Tender),North West,"New Municipal building,Tlakgameng Road, Next to Ganyesa Clinic, Ganyesa, 8613",N/A,Mr. K.W Motshwane,pmukmlm@gmail.com,053-998-4455,053-998-3711,No,No,,,No,No,,
Legal and accounting activities,KMLM2026-006,PANEL OF LEGAL SERVICE PROVIDERS FOR A PERIOD OF THREE (03) YEARS ON AN AS AND WHEN BASIS,28/01/2026,27/02/2026,Kagisano-Molopo Local Municiality,Request for Bid(Open-Tender),North West,"New Municipal building,Tlakgameng Road, Next to Ganyesa Clinic, Ganyesa, 8613",N/A,Mr. M Matlhodi,matlhodim@kmlm.gov.za,053-998-4455,053-998-3711,No,No,,,No,No,,
Repair and installation of machinery and equipment,KMLM2026-007,"INVITATION TO BID 
APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE LEASE AND MAINTENANCE FOR REPROGRAPHIC EQUIPMENT FOR A PERIOD OF THREE (3) YEARS",28/01/2026,27/02/2026,Kagisano-Molopo Local Municiality,Request for Bid(Open-Tender),North West,"New Municipal building,Tlakgameng Road, Next to Ganyesa Clinic, Ganyesa, 8613",N/A,Mrs. D Kgatlhane,kgatlhaned@kmlm.gov.za,053-998-4455,053-998-3711,No,No,,,No,No,,
Supplies: Computer Equipment,2/2/004/2025-26,"Appointment of a Service Provider for Supply, Delivery and Installation of Network Equipment, Including Support as and when Required for a Period of Three Years.",28/01/2026,10/03/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Moqhaka Local Municipality, Hill Street, Kroonstad, Kroonstad, 9499","Payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at stephanieb@moqhaka.gov.za, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.

Moqhaka Local Municipality Banking Details: 
Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536 
Bidder Reference:          Company Name and Tender Number 

",Mr. Moroke ,karabom@moqhaka.gov.za,056-216-9205,N/A,Yes,Yes,,"Moqhaka Local Municipality, Allen Rauntenbach Hall, Kroonstad",No,No,,
Supplies: Medical,E2479CXMWP,"Supply And Delivery of Medicine, Pharmaceutical Consumables & Oxygen, to MWP & EAL Clinics Eskom Holdings (Soc) Limited Medical Centres “as and when required” basis for a period of 36 months",28/01/2026,23/02/2026,ESKOM,Request for Bid(Open-Tender),National,"1 Maxwell drive, Sunninghill, Johannesburg, 2001",N/A,Malose Mokoatedi,mokoatma@eskom.co.za,011-516-7138,N/A,No,No,,,No,No,,
Construction,ZNB02829/00000/00/IXO/INF/24/T,PROVISION OF ROUTINE AND SAFETY MAINTENANCE ON VARIOUS ROADS WITHIN ZONE 1- IXOPO AREA OFFICE,28/01/2026,10/03/2026,Kwazulu Natal - Transport,Request for Bid(Open-Tender),KwaZulu-Natal,"23 High Street, Ixopo, Ixopo, 3276",N/A,MR. G. DLAMINI,Goodman.Dlamini@kzntransport.gov.za,087-740-4317,039-034-0519,Yes,Yes,,"23 High Street, Ixopo, 3276",No,No,,
Services: General,1/2/001/2025-26,Appointment of Meter Reading Services Company for a Period of Three Years.,28/01/2026,12/03/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Moqhaka Local Municipality, Hill Street, Kroonstad, Kroonstad, 9499","If you cannot print the attached tender document yourself payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at stephanieb@moqhaka.gov.za, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.

Moqhaka Local Municipality Banking Details: 
Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536 
Bidder Reference:          Company Name and Tender Number 
",Mr. Bester,bert@moqhaka.gov.za,056-216-9165,N/A,Yes,Yes,,"Moqhaka Local Municipality, Allen Rauntenbach Hall, Kroonstad",No,No,,
Services: General,RE-ADVERT:TSD23-2024/2025,"Supply and delivery of new single-deck electric buses including full maintenance and charging infrastructure including full maintenance and service plan for a period of 36 months on as and required basis to Metrobus
",28/01/2026,23/02/2026,City of Johannesburg - Metro Bus,Request for Bid(Open-Tender),Gauteng,"01 Raikes Road Braamfontein , Braamfontein, Joburg, 2001",N/A,Melatjeng Sefala ,msefala@mbus.joburg.org.za,010-745-1830,N/A,Yes,Yes,,"Milpark Workshop Depot, @ 5 Raikes Road, Braamfontein",No,No,,
Construction,ZNB02830/00000/00/IXO/INF/25/T,PROVISION OF ROUTINE AND SAFETY MAINTENANCE ON VARIOUS ROADS WITHIN ZONE 4- IXOPO AREA OFFICE,28/01/2026,10/03/2026,Kwazulu Natal - Transport,Request for Bid(Open-Tender),KwaZulu-Natal,"23 High Street, Ixopo, Ixopo, 3276",N/A,MR. G. DLAMINI,Goodman.Dlamini@kzntransport.gov.za,087-740-4317,039-034-0519,Yes,Yes,,"23 High Street, Ixopo, 3276",No,No,,
Services: General,SASSA:08-25-GA-EC ,Invitation to additional service providers (shops and retailers) through expression of interest to supplement the existing number of service providers on SASSA database in issuing of social relief of distress groceries to approved SASSA beneficiaries using the redemption of SASSA manual vouchers for a period of 36 months in the Eastern Cape,28/01/2026,23/02/2026,South African Social Security Agency,Request for Bid(Open-Tender),Eastern Cape,"CONR FITZPATRICK & MERINO ROAD, QUIGNEY, EAST LONDON, 5201",Refer to TOR ,T. Tyaliti,TenderQueriesEC@sassa.gov.za,043-707-6328,N/A,Yes,No,,(Addresses for briefing sessions are listed on page 18 of bid document),No,No,,
Construction,3/2/005/2025-26),Rammulotsi (Northleigh): Development of Sports and Recreational Park – Phase 1,28/01/2026,19/02/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Hill Street, Kroonstad, Kroonstad, 9499","If you cannot print the attached tender document yourself payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at YOUR EMAIL, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.

Moqhaka Local Municipality Banking Details:

Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536
Bidder Reference:          Company Name and Tender Number",Onalenna Garegae,onalenna@moqhaka.gov.za,056-216-9139,N/A,Yes,Yes,,"Allen Rautenbach Hall, Moqhaka Local Municipality, Hill Street ",No,No,,
"Computer programming, consultancy and related activities",2/2/003/2025-26," APPOINTMENT OF A SERVICE PROVIDER FOR PROVISION OF AN ELECTRONIC DOCUMENT MANAGEMENT SYSTEM FOR A PERIOD OF THREE (03) YEARS.
 Bid nr: (2/2/003/2025-26)",28/01/2026,10/03/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Hillstreet Moqhaka Local Municipality, Kroonstad, Kroonstad, 9499","If you cannot print the attached tender document yourself...
Payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at YOUR EMAIL, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.
 
Moqhaka Local Municipality Banking Details: 
Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536 
Bidder Reference:          Company Name and Tender Number 
",Mr. K Moroke,karabom@moqhaka.gov.za,056-216-9205,N/A,Yes,Yes,,Allen Rautenbach Hall (Moqhaka Local Municipality),No,No,,
Supplies: General,3/2/007/2025-26,Panel for Supply & Delivery of Water and Sewer Plumbing Material and Tools for a Period of Three Years,28/01/2026,03/03/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Hill Street, Kroonstad, Kroonstad, 9499","If you cannot print the attached tender document yourself payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at YOUR EMAIL, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.

Moqhaka Local Municipality Banking Details:
Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536
Bidder Reference:          Company Name and Tender Number",Mr. Stephen Molaodi,stephen@moqhaka.gov.za,056-216-9255,N/A,No,No,,,No,No,,
Programming and broadcasting activities,64/2025/2026,"Placement of adverts, Interviews and Live broadcast of Municipal Programmes on National ,Provincial and Community Radio Stations  for a period of 36 months ",28/01/2026,02/03/2026,Walter Sisulu Local Municipality,Request for Bid(Open-Tender),Eastern Cape,"1 Jan Greyling Street, Burgersdorp, Burgersdorp, 9744",N/A,Mr N. Mshicileli,ntembeko.mshicileli@wslm.gov.za,051-653-1777,N/A,No,No,,,No,No,,
Services: General,SASSA: 09-25-GA-EC ,Invitation for additional service providers to be accredited to supplement SASSA database by provisioning immediate humanitarian relief in the event of disasters and/or incidents by means of expression of interest over a period of 36 months in the Eastern Cape,28/01/2026,25/02/2026,South African Social Security Agency,Request for Bid(Open-Tender),Eastern Cape,"CONR FITZPATRICK & MERINO ROAD, QUIGNEY, EAST LONDON, 5201",Refer to TOR ,T. Tyaliti,TenderQueriesEC@sassa.gov.za,043-707-6328,N/A,Yes,No,,(Addresses for briefing sessions are listed on page 30 of bid document),No,No,,
Construction,3/2/006/2025-26,Maokeng (Koekoe Village): Upgrading of 0.85km Smaldeel Road to a Paved Road and Stormwater - Phase 1.,28/01/2026,12/03/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Hill Street, Kroonstad, Kroonstad, 9499","Payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at YOUR EMAIL, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.

Moqhaka Local Municipality Banking Details: 
Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536 
Bidder Reference:          Company Name and Tender Number ",Mr. O Garegae,onalenna@moqhaka.gov.za,056-216-9139,N/A,Yes,Yes,,Allen Rautenbach Hall (Main Building),No,No,,
Programming and broadcasting activities,65/2025/2026,Upgrade and maintenance of Municipal website for a period of 36 months,28/01/2026,02/03/2026,Walter Sisulu Local Municipality,Request for Bid(Open-Tender),Eastern Cape,"1 Jan Greyling Street, Burgersdorp, Burgersdorp, 9744",N/A,Mr N. Mshicileli,ntembeko.mshicileli@wslm.gov.za,051-653-1777,N/A,No,No,,,No,No,,
Services: General,2/2/006/2025-26,PANEL OF SERVICE PROVIDERS FOR THE REMOVAL AND DESTRUCTION OF RECORDS / ARCHIVES BELONGING TO MOQHAKA LOCAL MUNICIPALITY FOR THE PERIOD OF THREE YEARS AS AND WHEN REQUIRED,28/01/2026,03/03/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Kroonstad Hill Street, Kroonstad, Koonstad, 9499","If you cannot print the attached tender document yourself payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at tsietsil@moqhaka.gov.za, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.

Moqhaka Local Municipality Banking Details: 
Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536 
Bidder Reference:          Company Name and Tender Number 
",Mr. N Motaung,ngope@moqhaka.gov.za,056-216-9424,N/A,No,No,,,No,No,,
Supplies: Computer Equipment,2/2/005/2025-26,Appointment of a Panel of Service Providers for Supply and Delivery of Laptops/Desktops as and When Required for 36 Months,28/01/2026,10/03/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Hill Street, Kroonstad, Kroonstad, 9499","If you cannot print the attached tender document yourself payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at YOUR EMAIL, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.

Moqhaka Local Municipality Banking Details:
Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536
Bidder Reference:          Company Name and Tender Number",Mr. Karabo Moroke,karabom@moqhaka.gov.za,056-216-9205,N/A,Yes,Yes,,"Allen Rautenbach Hall, Moqhaka Local Municipality, Hill Street ",No,No,,
Services to buildings and landscape activities,MN103/2025,"PANEL OF UP TO TEN CONTRACTORS FOR THE REPAIRS, MAINTENANCE AND REFURBISHMENT OF KWADUKUZA MUNICIPALITY HEATING, VENTILATION AND AIR CONDITIONING INFRASTRUCTURE DURING AND AFTER NORMAL WORKING HOURS FOR A PERIOD OF THREE(3) YEARS ",28/01/2026,03/03/2026,Kwadukuza Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"KWADUKUZA, Stanger, STANGER, 4450","•	RDP criteria applied to this bid: this bid is open ONLY to all bidders within the province of KwaZulu Natal.
•	The specific goals criteria applied to this tender in terms of Section 2 (1)(d) and (e)of the Act is EME, QSE which are at least 51% owned by black people.
",Cornel de Wet,cornelW@sivest.com,076-426-4469,000-000-0000,Yes,Yes,,"KwaDukuza Municipality: NOKUKHANYA BUILDING, 10 LEONORA DRIVE-BALLITO",No,No,,
Services: Professional,H25/008PF,RFP FOR TOTAL FACILITIES MANAGENET SERVICE PROVIDERS PANEL FOR A PERIOD OF SIXTY (60) MONTHS ,28/01/2026,20/02/2026,Public Works,Request for Bid(Open-Tender),Gauteng,"CORNER MADIBA AND BOSMAN, PRETORIA, PRETORIA, 0157","This bid incluses functionality, which will be scored out of 100. Bidders must obtain a minimum of 65% to be considered for this tender",Lawrence Ramasunzi,fikile.ndwandwe@dpw.gov.za,082-904-9100,N/A,Yes,Yes,,"152 Jonannes Ramokhoase Street, Telkom Towers North, Pretoria Central ",No,No,,
Services: General,2/2/002/2025-26,"APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY, DELIVERY AND INSTALLATION OF ANTIVIRUS SOFTWARE (INCLUDING SUPPORT FOR 36 MONTHS) ",28/01/2026,10/03/2026,Moqhaka Local Municipality,Request for Bid(Open-Tender),Free State,"Kroonstad Hill Street, Kroonstad, Koonstad, 9499","If you cannot print the attached tender document yourself payment of the non-refundable printing fee of R2000.00 can be made at the cashiers at the main Municipal Building, Hill Street or directly into the municipal bank account. If an EFT payment is made, the proof of payment (Pop) can be forwarded to the SCM unit at tsietsil@moqhaka.gov.za, then the bid document should be collected from the SCM offices, at Kroonstad Municipality (Magasyn Building), Cnr 11th & 12th Way, Kroonstad, 9499.

Moqhaka Local Municipality Banking Details: 
Bank:                                    ABSA Bank Kroonstad
Account Number:          40-5327-4876
Branch Code:                   334536 
Bidder Reference:          Company Name and Tender Number 
",Mr. K Moroke,karabom@moqhaka.gov.za,056-216-9205,N/A,Yes,Yes,,Allen Rautenbach Hall,No,No,,
Construction,LEDA/KKP/2025/26-2D,"APPOINTMENT OF A SERVICE PROVIDER FOR THE DESIGN, CONSTRUCTION, REFURBISHMENT AND UPGRADE OF EXISTING BUILDING FACILITY AND INSTALLATION OF SWEET POTATO YOGHURT PROCESSING MACHINERY FOR KGAROSE KGAROS PTY LTD AT SESHEGO INDUSTRIAL PARK CIDB GRADING:7GB OR HIGHER",28/01/2026,25/02/2026,Limpopo - Economic Development Agency,Request for Bid(Open-Tender),Limpopo,"SESHEGO INDUSTRIAL PARK, SESHEGO, POLOKWANE, 0742","BRIEFING SESSION IS COMPULSORY, TO BE HELD AS FOLLOWS:

06 FEBRUARY 2026, 11:00AM AT SESHEGO INDUSTRIAL PARK",SUZAN MABEBA,suzan.mabeba@lieda.co.za,066-484-1939,N/A,Yes,Yes,,SESHEGO INDUSTRIAL PARK,No,No,,
Supplies: General,RFQ 72038 (c),Supply and Delivery of Fire Detection and Suppression Spares at OR Tambo International Airport,28/01/2026,20/02/2026,Airports Company of South Africa,Request for Quotation,Gauteng,"OR Tambo International Airport, Johannesburg , Kempton Park , 1632",Microsoft Link provided on the RFQ document.,Joseph Rulash,joseph.rulash@airports.co.za,084-434-0582,086-572-9731,Yes,No,,https://teams.microsoft.com/meet/37010570408001?p=2KxXGIR3yOZRIisBUj,No,No,,
Supplies: Electrical Equipment,SPSC-B-031-2025,"THE SUPPLY AND DELIVERY OF FOUR ( 4 ) 60 KVA DIESEL ENGINE GENERATORS WITH A WATHER PROOF CANOPY, AUTOMATIC SWITHCH HIGH SECURITY, 100LT FUEL TANK MAGNETIC RESTRICTIVE FUEL SENSOR, MOD BUS GATEWAY WITH WI-FI INTERFACE AND ESTENDED ANTENNAS TRANSFER SWITCH FOR DOD SHOOL OF LOGISTICS TRAINING. PROC PLAN  DOD PROC PLAN 25-26/LOG/DIV/1324",28/01/2026,19/02/2026,Defence,Request for Bid(Open-Tender),Western Cape,"WETTON ROAD, YOUNGS FIELD, MILITARY BASE LOG SCHOOL, WYNBERG, CAPE TOWN, 7700",N/A,CHIEF PETTY OFFICER M.L CLAASSEN,spscbidinvitation@dod.mil.za,021-787-5171,N/A,No,No,,,No,No,,
